,EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
0,198,donald,oconnell,doconnel,650.507.9833,2007-06-21,sh_clerk,2600.0,,124,50
1,199,douglas,grant,dgrant,650.507.9844,2008-01-13,sh_clerk,5168.48,,124,50
2,200,jennifer,whalen,afripp,515.123.4444,2003-09-17,ad_asst,4400.0,,101,10
3,201,michael,hartstein,mhartste,515.123.5555,2004-02-17,mk_man,13000.0,,100,20
4,202,pat,fay,pfay,603.123.6666,2005-08-17,mk_rep,6000.0,,201,20
5,203,susan,mavris,smavris,515.123.7777,2002-06-07,hr_representative,5168.48,,101,40
6,204,hermann,baer,hbaer,515.123.8888,2002-06-07,pr_rep,10000.0,,101,70
7,205,shelley,higgins,shiggins,515.123.8080,2002-06-07,ac_mgr,12008.0,,101,110
8,206,william,gietz,wgietz,515.123.8181,2002-06-07,ac_account,8300.0,,205,110
12,103,alexander,hunold,ahunold,590.423.4567,2006-01-03,it_programmer,9000.0,,102,60
14,105,david,austin,daustin,590.423.4569,2005-06-25,it_programmer,4800.0,,103,60
15,106,valli,pataballa,vpatabal,590.423.4560,2006-02-05,it_programmer,4800.0,,103,60
16,107,diana,lorentz,dlorentz,590.423.5567,2007-02-07,it_programmer,4200.0,,103,60
17,108,alexander,greenberg,ngreenbe,515.124.4569,2002-08-17,fi_mgr,12008.0,,101,100
18,109,daniel,faviet,dfaviet,515.124.4169,2002-08-16,fi_account,9000.0,,108,100
19,110,john,chen,jchen,515.124.4269,2005-09-28,fi_account,8200.0,,108,100
20,111,ismael,sciarra,isciarra,515.124.4369,2005-09-30,fi_account,7700.0,,108,100
21,112,jose manuel,urman,jmurman,515.124.4469,2006-03-07,fi_account,7800.0,,108,100
23,114,den,raphaely,drapheal,515.127.4561,2002-12-07,pu_man,11000.0,,100,30
24,115,alexander,khoo,akhoo,515.127.4562,2003-05-18,pu_clerk,3100.0,,114,30
25,116,shelli,baida,sbaida,515.127.4563,2005-12-24,pu_clerk,2900.0,,114,30
26,117,sigal,tobias,stobias,515.127.4564,2005-07-24,pu_clerk,2800.0,,114,30
27,118,guy,himuro,ghimuro,515.127.4565,2006-11-15,pu_clerk,2600.0,,114,30
28,119,karen,colmenares,kcolmena,515.127.4566,2007-08-10,pu_clerk,2500.0,,114,30
29,120,matthew,weiss,afripp,650.123.1234,2004-07-18,st_man,5168.48,,100,50
30,121,alexander,fripp,afripp,650.123.2234,2005-04-10,st_man,8200.0,,100,50
31,122,payam,kaufling,pkauflin,650.123.3234,2003-05-01,st_man,7900.0,,100,50
32,123,shanta,vollman,svollman,650.123.4234,2005-10-10,st_man,6500.0,,100,50
33,124,kevin,mourgos,kmourgos,650.123.5234,2007-11-16,st_man,5800.0,,100,50
34,125,julia,nayer,jnayer,650.124.1214,2005-07-16,st_clerk,3200.0,,120,50
36,127,james,landry,jlandry,650.124.1334,2007-01-14,st_clerk,2400.0,,120,50
37,128,steven,markle,smarkle,650.124.1434,2008-03-08,st_clerk,2200.0,,120,50
38,129,laura,bissot,afripp,650.124.5234,2005-08-20,st_clerk,3300.0,,121,50
39,130,alexander,atkinson,matkinso,650.124.6234,2005-10-30,st_clerk,2800.0,,121,50
40,131,james,marlow,jamrlow,650.124.7234,2005-02-16,st_clerk,2500.0,,121,50
41,132,tj,olson,tjolson,650.124.8234,2007-04-10,st_clerk,2100.0,,121,50
42,133,jason,mallin,jmallin,650.127.1934,2004-06-14,st_clerk,3300.0,,122,50
43,134,michael,rogers,mrogers,650.127.1834,2006-08-26,st_clerk,5168.48,,122,50
44,135,ki,gee,kgee,650.127.1734,2007-12-12,st_clerk,2400.0,,122,50
46,137,renske,ladwig,afripp,650.121.1234,2003-07-14,st_clerk,3600.0,,123,50
47,138,stephen,stiles,sstiles,650.121.2034,2005-10-26,st_clerk,3200.0,,123,50
48,139,john,seo,jseo,650.121.2019,2006-02-12,st_clerk,2700.0,,123,50
49,140,joshua,patel,jpatel,650.121.1834,2006-04-06,st_clerk,5168.48,,123,50
53,136,alexander,philtanker,afripp,650.127.1634,2008-02-06,st_clerk,2200.0,,122,50
