EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
1,Priya,,,INVALID,2020-01-01,IT_PROG,, - ,103,30
2,,Kumar,a@gmail.com,,2020-01-02,HR_REP,40000,,,10
3,Neha,Shah,b@gmail.com,67890,2020-01-03,SALES,-10000,0.2,101,10
4,,,a@gmail.com,12345,2020-01-04,HR_REP,40000,0.1,102,20
5,,,a@gmail.com,INVALID,2020-01-05,HR_REP,50000,0.2,102,30
6,Ravi,Patel,,12345,2020-01-06,SALES,30000,0.1,,30
7,Neha,Shah,b@gmail.com,12345,2020-01-07,,50000, - ,101,10
8,Neha,,,67890,2020-01-08,HR_REP,-10000,0.1,101,10
9,Neha,Kumar,,,2020-01-09,,40000,,102,20
10,,Kumar,b@gmail.com,67890,2020-01-10,HR_REP,40000,,103,20
11,Priya,Patel,a@gmail.com,67890,2020-01-11,,,0.1,102,30
12,Neha,,a@gmail.com,67890,2020-01-12,SALES,40000,0.1,101,
13,,Shah,b@gmail.com,67890,2020-01-13,HR_REP,,0.1,,30
14,Ravi,Kumar,a@gmail.com,INVALID,2020-01-14,SALES,30000,0.1,102,10
15,Priya,,b@gmail.com,,2020-01-15,HR_REP,-10000,,101,30
16,Ravi,,b@gmail.com,12345,2020-01-16,SALES,,0.2,102,
17,Priya,Patel,,12345,2020-01-17,SALES,30000,0.1,103,20
18,,Kumar,b@gmail.com,,2020-01-18,HR_REP,40000,0.1,102,
19,Amit,Kumar,,12345,2020-01-19,HR_REP,40000,,102,
20,Priya,Shah,a@gmail.com,,2020-01-20,HR_REP,30000,,101,
21,Ravi,Kumar,a@gmail.com,12345,2020-01-21,IT_PROG,40000, - ,101,20
22,,Shah,a@gmail.com,67890,2020-01-22,,30000,0.1,101,
23,Priya,Kumar,a@gmail.com,12345,2020-01-23,IT_PROG,, - ,102,
24,Amit,Patel,,,2020-01-24,IT_PROG,,,103,
25,Amit,Kumar,a@gmail.com,,2020-01-25,SALES,30000,,,10
26,Neha,Shah,b@gmail.com,,2020-01-26,HR_REP,,0.2,,
27,Neha,Shah,b@gmail.com,,2020-01-27,,,0.1,101,20
28,Ravi,Patel,b@gmail.com,,2020-01-28,SALES,, - ,101,
29,Priya,Kumar,,INVALID,2020-01-29,IT_PROG,50000,,102,
30,Priya,Kumar,a@gmail.com,INVALID,2020-01-30,HR_REP,-10000,,,20
31,Neha,Patel,a@gmail.com,12345,2020-01-31,SALES,40000, - ,101,
32,Priya,Kumar,a@gmail.com,,2020-02-01,HR_REP,50000,0.2,103,20
33,Priya,Kumar,,12345,2020-02-02,SALES,,,103,
34,Amit,Shah,b@gmail.com,,2020-02-03,HR_REP,30000,0.1,101,20
35,Neha,Kumar,b@gmail.com,,2020-02-04,IT_PROG,,,101,
36,,Kumar,a@gmail.com,INVALID,2020-02-05,,-10000,0.1,,
37,Neha,Patel,b@gmail.com,INVALID,2020-02-06,IT_PROG,, - ,,10
